,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago,User name
63,-0.802,Thu May 24 13:56:20 +0000 2018,0.298,0.702,0.0,"In letter to Kim Jong-un, President Trump says ""tremendous anger and open hostility"" displayed in North Korea state… https://t.co/4P6aLp1LXE",64,@BBCBreaking
64,0.0,Thu May 24 13:48:51 +0000 2018,0.0,1.0,0.0,"US-North Korea summit will not take place, Donald Trump says https://t.co/Kzej5c101k",65,@BBCBreaking
65,-0.8176,Thu May 24 12:03:56 +0000 2018,0.333,0.667,0.0,Army sergeant Emile Cilliers guilty of trying to murder his wife by tampering with her parachute https://t.co/OdTAyBSJZo,66,@BBCBreaking
66,-0.4019,Thu May 24 10:54:54 +0000 2018,0.119,0.881,0.0,"North Korea appears to have blown up tunnels at its only nuclear test site, a key move to reducing regional tensions https://t.co/s92Pw9KS4O",67,@BBCBreaking
67,-0.7964,Thu May 24 10:00:39 +0000 2018,0.295,0.705,0.0,A couple have been found guilty of murdering their French au pair and burning her body in their garden https://t.co/8r6yRdCG4B,68,@BBCBreaking
68,-0.8402,Thu May 24 10:00:16 +0000 2018,0.348,0.652,0.0,"A missile fired at flight MH17 in 2014, killing 298 people, belonged to a Russian brigade, investigators say https://t.co/yLua7Ztfui",69,@BBCBreaking
69,-0.7964,Thu May 24 09:55:10 +0000 2018,0.283,0.717,0.0,"A couple have been found guilty of murdering their French au pair and burning her body in their London garden

https://t.co/ZRwyexYiwh",70,@BBCBreaking
70,-0.8402,Thu May 24 09:29:26 +0000 2018,0.348,0.652,0.0,"A missile fired at flight MH17 in 2014, killing 298 people, belonged to a Russian brigade, investigators say https://t.co/D8VQAg3Ca1",71,@BBCBreaking
71,-0.886,Wed May 23 22:15:02 +0000 2018,0.51,0.49,0.0,"Man arrested in Hertfordshire on suspicion of preparing terrorist acts, police say https://t.co/SCbyRXldte",72,@BBCBreaking
72,-0.2263,Wed May 23 16:36:19 +0000 2018,0.245,0.545,0.21,"Yulia Skripal, poisoned daughter of Russian ex-spy Sergei, says she is lucky to be alive after attack https://t.co/Pe34d0cCOr",73,@BBCBreaking
